[0.072,0.126,0.418,0.09 ,0.116,0.02 ,0.01 ,0.028,0.038,0.004,0.04 ,0.012,0.006,0.002,0.018,0.   ]
[0.102,0.132,0.422,0.072,0.076,0.01 ,0.018,0.046,0.028,0.002,0.054,0.016,0.006,0.004,0.006,0.006]
[0.094,0.132,0.392,0.104,0.1  ,0.012,0.002,0.022,0.056,0.002,0.05 ,0.016,0.006,0.   ,0.01 ,0.002]
[0.082,0.118,0.436,0.09 ,0.068,0.018,0.024,0.036,0.046,0.008,0.038,0.02 ,0.   ,0.01 ,0.004,0.002]
[0.068,0.108,0.442,0.09 ,0.078,0.014,0.018,0.026,0.058,0.012,0.042,0.022,0.   ,0.002,0.018,0.002]
[0.07 ,0.11 ,0.454,0.096,0.078,0.012,0.016,0.034,0.038,0.002,0.056,0.016,0.002,0.002,0.012,0.002]
[0.066,0.136,0.404,0.1  ,0.1  ,0.016,0.014,0.034,0.042,0.008,0.054,0.016,0.002,0.004,0.004,0.   ]
[0.092,0.092,0.42 ,0.086,0.106,0.022,0.008,0.036,0.038,0.008,0.036,0.028,0.004,0.006,0.018,0.   ]
[0.076,0.128,0.428,0.086,0.096,0.024,0.008,0.022,0.044,0.006,0.054,0.01 ,0.   ,0.004,0.014,0.   ]
[0.054,0.15 ,0.388,0.084,0.098,0.012,0.012,0.032,0.074,0.006,0.044,0.012,0.006,0.   ,0.028,0.   ]
[0.04 ,0.124,0.41 ,0.126,0.096,0.016,0.018,0.028,0.046,0.004,0.052,0.012,0.008,0.006,0.014,0.   ]
[0.068,0.15 ,0.392,0.094,0.106,0.016,0.016,0.026,0.044,0.006,0.044,0.008,0.008,0.004,0.018,0.   ]
[0.074,0.14 ,0.386,0.098,0.096,0.008,0.01 ,0.032,0.054,0.004,0.048,0.014,0.008,0.002,0.022,0.004]
[0.084,0.152,0.4  ,0.072,0.098,0.028,0.012,0.024,0.034,0.004,0.046,0.016,0.008,0.006,0.01 ,0.006]
[0.09 ,0.136,0.382,0.108,0.084,0.012,0.01 ,0.034,0.046,0.006,0.05 ,0.014,0.002,0.008,0.016,0.002]
[0.064,0.14 ,0.35 ,0.1  ,0.138,0.022,0.012,0.034,0.054,0.008,0.046,0.014,0.004,0.01 ,0.004,0.   ]
[0.088,0.142,0.378,0.086,0.126,0.016,0.01 ,0.032,0.048,0.01 ,0.038,0.008,0.004,0.002,0.012,0. ]  
